name,protMAE,gapMAE,gapStd_src,gapStd_out,nw%
a_s123,1108.6948,8378.407,37.89258,41.016975,0.07350896014622323
a_s1234,1079.5258,7890.556,37.89258,40.231922,0.027814201136408787
a_s1618,1010.6413,7706.0825,37.89258,40.059784,0.17483212142885526
a_s2026,1066.3024,7159.9775,37.89258,40.31134,0.005960185957801883
a_s2718,1015.21075,7555.251,37.89258,40.13095,0.009933643263003139
a_s31415,1076.5543,7811.793,37.89258,39.417675,0.10132316128263201
a_s42,1096.6394,7705.14,37.89258,40.517902,0.6655540986212103
a_s7,1049.3998,7854.5747,37.89258,41.08403,0.005960185957801883
a_s777,1081.6526,8440.766,37.89258,38.95626,0.05364167362021695
a_s99,1069.4485,7945.173,37.89258,39.79429,0.07946914610402511
a_v5_42,1121.4785,7804.8877,37.89258,38.803284,0.19271267930226088
a_v5_7,1069.7705,7927.487,37.89258,39.975956,0.0
b2_s2026,870.3428,2261.8584,39.745483,40.908848,0.0
b2_s42,870.41315,2270.143,39.745483,40.99017,0.0
b2_s7,870.13074,2267.1902,39.745483,40.942646,0.0
b2_s777,870.65784,2265.515,39.745483,40.938446,0.0
b2_s99,870.383,2269.0288,39.745483,40.996838,0.0
b2_v5_42,996.4815,7416.794,39.745483,40.48579,0.0
bb_s2026,652.30853,1093.6332,20.345049,20.796803,0.0
bb_s42,652.04645,1097.0269,20.345049,20.688505,0.0
bb_s7,651.99054,1110.0386,20.345049,20.797127,0.0
bb_s777,652.23804,1084.887,20.345049,20.688877,0.0
bb_s99,652.57825,1108.775,20.345049,20.7412,0.0
bb_v5_42,683.2276,1878.9927,20.345049,18.363441,0.0
c5_s2026,993.70667,1271.9534,30.544619,31.064295,0.0
c5_s42,993.43677,1286.1609,30.544619,31.165226,0.0
c5_s7,993.4593,1290.0978,30.544619,31.129187,0.0
c5_s777,994.06134,1277.6167,30.544619,31.133312,0.0
c5_s99,993.72626,1286.5862,30.544619,31.12476,0.0
c5_v5_42,1050.9379,3624.6667,30.544619,28.718288,0.0
gg_s2026,410.1476,890.6254,20.813248,21.407331,0.0
gg_s42,410.2043,897.01843,20.813248,21.398943,0.0
gg_s7,410.1995,890.82263,20.813248,21.379982,0.0
gg_s777,410.47223,902.127,20.813248,21.365913,0.0
gg_s99,410.24988,897.5815,20.813248,21.329866,0.0
gg_v5_42,458.7435,1847.5908,20.813248,18.53572,0.0
p_s1234,1276.9106,2021.0829,29.220955,28.948488,0.019539518676523267
p_s2026,1277.0111,2019.9894,29.220955,28.849665,0.009769759338261633
p_s31415,1277.0776,2017.714,29.220955,29.023064,0.01628293223043606
p_s42,1277.868,2025.3014,29.220955,29.192907,0.03256586446087212
p_s7,1278.0322,2009.8472,29.220955,28.976625,0.02605269156869769
p_s777,1277.2601,2019.4773,29.220955,28.95127,0.006513172892174422
p_s99,1277.02,2017.5286,29.220955,29.0415,0.01628293223043606
p_v5_42,1282.4766,4165.9414,29.220955,21.850267,0.0
w_s1234,929.3809,2548.6138,34.08704,34.454044,0.01647392178181938
w_s2026,929.02014,2549.1233,34.08704,34.470932,0.01647392178181938
w_s31415,929.12317,2542.4497,34.08704,34.580997,0.01647392178181938
w_s42,929.2555,2540.0383,34.08704,34.49961,0.013179137425455503
w_s7,929.12244,2546.1267,34.08704,34.54393,0.013179137425455503
w_s777,929.3271,2546.3003,34.08704,34.593746,0.01647392178181938
w_s99,928.99774,2527.4304,34.08704,34.57303,0.013179137425455503
w_v5_42,956.52673,5008.052,34.08704,23.567528,0.013179137425455503
